"Colour Master — every fabric/item colourway sourced directly from Decora spec files and product datasets (not from the trade book price grids, which only give collection/band, not individual colours). See Notes / Improvements for categories not yet covered.",,,,,
Product Category,Collection,Colour Name,Colour Code,Band,Source File
FB Romans,Memento,Dawn,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Memento,Dusk,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Mimi,Melba,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Mimi,Satin,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Mulberry,Roast,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Noble,Summer,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Nomad,Fossil,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Nomad,Platinum,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Nomad,Sandstone,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Nomad,Slate,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Blush,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Cranberry,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Hessian,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Oyster,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Silver,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Smoke,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Ortega,Spa,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Pavo,Muscovado,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Pavo,Teal,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Pinnacle,Amaretto,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Pinnacle,Amelia,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Pinnacle,Azure,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Pinnacle,Slate,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Reveal,Halo,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Berry,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Energy,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Graphite,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Havana,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Ink,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Riva,Moment,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Rumour,Aqua,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Rumour,Shimmer,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Calm,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Motion,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Shell,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Shimmer,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Soba,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Summer,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Tilt,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Velour,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Saskia,Warmth,,C,PDF: SPEC46 Roman & Curtain
