"Fabric & Item Band Master — every fabric/item mapped to its correct pricing band. Advisors look up here (or via Quick Quote) — never memorise bands. Sorted with real fabrics first; accessory and motorisation items (brackets, chains, remotes, tape colours etc.) are grouped at the bottom of this list and excluded from the Fabric/Item dropdown, so scrolling the dropdown only shows fabrics.",,,,,,,,,,
FB_ID,Supplier,Product Category,Collection,Fabric/Item Name,Fabric/Item Code,Band,Price Table Reference,Fabric Type/Properties,Blackout/Dimout/Sheer/FR/Moisture Resistant,Notes
FB-01302,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,Armada,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01469,Decora,Timberlux Prime,ADDITIONAL INFORMATION: / Tape uplift - 10% / Slat Pack - 30% reduction on ladder pricing / 50MM TIMBERLUX® BAMBOO,Armour,,ADDITIONAL INFORMATION: / Tape uplift - 10% / Slat Pack - 30% reduction on ladder pricing / 50MM TIMBERLUX® BAMBOO,PT-00186,,,Auto-parsed from fabric list
FB-00022,Decora,FB Roller,,Arona,,PRICE RANGE C,PT-00003,,,Auto-parsed from fabric list
FB-00160,Decora,FB Panels,,Arona,,PRICE RANGE C,PT-00024,,,Auto-parsed from fabric list
FB-00205,Decora,Contract Roller,,Arona,,PRICE RANGE C,PT-00028,,,Auto-parsed from fabric list
FB-00249,Decora,Perfect Fit Roller,Hayworth / Kelso / Mood / Messina / Lottie / Puriti / PERFECT FIT UNIVERSAL FRAME / Orissa / Mallory / Renzo,Arona,,PRICE RANGE C,PT-00039,,,Auto-parsed from fabric list
FB-00965,Decora,FB Verticals,,Arona,,PRICE RANGE C,PT-00131,,,Auto-parsed from fabric list
FB-01006,Decora,FB Slats Only ,,Arona,,PRICE RANGE C,PT-00135,,,Auto-parsed from fabric list
FB-01035,Decora,Contract Vertical,,Arona,,PRICE RANGE C,PT-00139,,,Auto-parsed from fabric list
FB-01452,Decora,Prime Alumitex,*35mm Slat.  All other colours only available in 50mm slat / Price Band B,Artemis,,Price Band B,PT-00183,,,Auto-parsed from fabric list
FB-00332,Decora,Cruze FH & Tensioned,,Artezen,,Price Band C,PT-00060,,,Auto-parsed from fabric list
FB-00383,Decora,Perfect Fit Cruze TDBU,Price Band C,Artezen,,Price Band C,PT-00065,,,Auto-parsed from fabric list
FB-00434,Decora,Perfect Fit Cruze BU,Price Band C,Artezen,,Price Band C,PT-00070,,,Auto-parsed from fabric list
FB-00481,Decora,Cruze Fit To Frame,,Artezen,,Price Band C,PT-00075,,,Auto-parsed from fabric list
FB-00528,Decora,FB Softcell V-Series,,Artezen,,Price Band C,PT-00080,,,Auto-parsed from fabric list
FB-00588,Decora,FB Romans,,Artisan,,Price Band D,PT-00086,,,Auto-parsed from fabric list
FB-00646,Decora,FB Curtains - Pencil Pleat,,Artisan,,Price Band D,PT-00090,,,Auto-parsed from fabric list
FB-00703,Decora,FB Curtains - Double Pinch,,Artisan,,Price Band D,PT-00094,,,Auto-parsed from fabric list
FB-00760,Decora,FB Curtains - Triple Pinch,,Artisan,,Price Band D,PT-00098,,,Auto-parsed from fabric list
FB-00817,Decora,FB Curtains - Eyelet,,Artisan,,Price Band D,PT-00102,,,Auto-parsed from fabric list
FB-00874,Decora,FB Wave Curtain,,Artisan,,Price Band D,PT-00106,,,Auto-parsed from fabric list
FB-00589,Decora,FB Romans,,Arturo,,Price Band D,PT-00086,,,Auto-parsed from fabric list
FB-00647,Decora,FB Curtains - Pencil Pleat,,Arturo,,Price Band D,PT-00090,,,Auto-parsed from fabric list
FB-00704,Decora,FB Curtains - Double Pinch,,Arturo,,Price Band D,PT-00094,,,Auto-parsed from fabric list
FB-00761,Decora,FB Curtains - Triple Pinch,,Arturo,,Price Band D,PT-00098,,,Auto-parsed from fabric list
FB-00818,Decora,FB Curtains - Eyelet,,Arturo,,Price Band D,PT-00102,,,Auto-parsed from fabric list
FB-00875,Decora,FB Wave Curtain,,Arturo,,Price Band D,PT-00106,,,Auto-parsed from fabric list
FB-01089,Decora,Sunwood,SUNWOOD® - 35MM ESSENTIAL COLLECTION,Ash,,SUNWOOD® - 35MM ESSENTIAL COLLECTION,PT-00152,,,Auto-parsed from fabric list
FB-01100,Decora,Sunwood,SUNWOOD® WITH HERRINGBONE TAPES - 35MM ESSENTIAL COLLECTION,Ash,,SUNWOOD® WITH HERRINGBONE TAPES - 35MM ESSENTIAL COLLECTION,PT-00153,,,Auto-parsed from fabric list
FB-01113,Decora,Sunwood,,Ash,,Default,PT-00154,,,Auto-parsed from fabric list
FB-01133,Decora,Sunwood,,Ash,,Default,PT-00155,,,Auto-parsed from fabric list
FB-01153,Decora,Sunwood,,Ash,,Default,PT-00156,,,Auto-parsed from fabric list
FB-01420,Decora,Prime Alumitex,ALUMITEX PRIME VENETIANS - 35/50MM / ALUMITEX PRIME VENETIANS WITH TAPES - 35/50MM / Price Band A,Ashen,,Price Band A,PT-00182,,,Auto-parsed from fabric list
